intake_id,analysis_team,assigned_to,assigned_specialist,tester_completed_by,status,received_on,specialist_assigned_on,actual_start,delivered_on,actual_end,effort_level,project_flag,total_tat_days,assignment_tat_days,pre_work_tat_days,execution_tat_days,closure_tat_days,primary_employee,employee_id,employee_type,active_status,effort_score,project_score,team_median_tat,team_tat_score,complexity_weight_raw,complexity_weight,month,avg_concurrent_requests,employee_median_tat,relative_tat,effectiveness_score
REQ-10001,Team D,E010,E002,E010,Completed,2024-02-03,2024-02-05 00:31:47.617095,2024-02-07 06:32:42.604803,2024-02-14 13:47:00.004359,2024-02-16 01:07:04.845385000,Medium,1,13.046583858622686,2.0220789015625,2.2506364318055554,7.301590272638889,1.4722782526157407,E010,E010,Dedicated Contractor,Inactive,2,4,7.707467308356481,1.875,7.875,7.782608695652174,2024-02,1.5,8.140595107465277,1.056195865876615,11.052791835905566
REQ-10002,Team C,E007,E007,E007,Completed,2025-03-15,2025-03-16 10:21:50.030668,2025-03-18 16:22:45.018376,2025-03-25 13:52:31.715693,2025-03-26 18:01:18.048246000,Medium,0,11.750903336180555,1.4318290586574074,2.2506364318055554,6.895679367094908,1.1727584786226852,E007,E007,Dedicated Contractor,Active,2,0,8.919905509016203,2.25,4.25,4.0,2025-03,1.631578947368421,7.888772195081018,0.8844008702902828,7.379363825514534
REQ-10003,Team B,E014,E014,E024,Completed,2024-05-21,2024-05-22 16:25:27.988402,2024-05-24 11:06:26.485384,2024-06-03 00:39:13.585481,2024-06-03 22:49:57.953797000,High,0,13.951365205983796,1.6843517176157405,1.7784548261805557,9.564434028900463,0.924124633287037,E014,E014,Shared Contractor,Active,3,0,13.013392610353009,3.0,6.0,5.826086956521739,2024-05,1.7647058823529411,7.758753411741898,0.5962129664457598,17.244391688702056
REQ-10004,Team A,E019,E019,E019,Completed,2025-05-23,2025-05-25 16:39:50.313321,2025-05-28 22:49:54.846876,2025-06-04 07:54:57.448161,2025-06-05 07:56:42.690620000,Low,1,13.331049659953704,2.6943323301041664,3.256996916145833,6.3785023296875,1.0012180840162037,E019,E019,FTE,Active,1,4,6.8314159208854175,1.5,6.5,6.3478260869565215,2025-05,1.6,8.140595107465277,1.1916409719070622,8.523139081795986
REQ-10005,Team C,E005,E005,E007,Completed,2025-11-30,2025-12-02 06:25:37.466682,2025-12-05 11:57:38.826219,2025-12-13 03:49:20.098752,2025-12-13 23:37:09.982325000,Low,1,13.98414331394676,2.267794753263889,3.2305712909375,7.660894358020833,0.824882911724537,E005,E005,Shared Contractor,Active,1,4,8.919905509016203,2.25,7.25,7.130434782608695,2025-11,1.5833333333333333,7.106494622222222,0.7967006617995007,14.17076150905093
REQ-10006,Team C,E011,E011,E001,Completed,2024-05-26,2024-05-27 22:27:29.130867,2024-05-30 23:41:23.656383,2024-06-12 02:26:54.812280,2024-06-13 21:22:41.836139000,Medium,0,18.89076199234954,1.9357538294791667,3.0513255268055555,12.114943933993056,1.7887387020717593,E011,E011,FTE,Active,2,0,8.919905509016203,2.25,4.25,4.0,2024-05,1.875,7.933169563703704,0.8893782064938792,8.432857860961782
REQ-10007,Team B,E020,E020,E007,Completed,2024-09-10,2024-09-10 22:18:45.651926,2024-09-12 10:05:22.088079,2024-09-22 11:46:22.869954,2024-09-26 08:17:28.885301000,Medium,0,16.345473209502316,0.9296950454398148,1.4906994925115742,10.070147938368056,3.85493073318287,E020,E020,Shared Contractor,Active,2,0,13.013392610353009,3.0,5.0,4.782608695652174,2024-09,1.55,9.131754784027779,0.7017197634353142,10.564108159031804
REQ-10008,Team C,E017,E017,E017,Completed,2024-04-16,2024-04-17 17:39:17.736411,2024-04-20 10:02:37.122858,2024-04-30 04:16:38.485535,2024-05-01 11:38:34.290836000,Medium,1,15.485119106898146,1.7356219492013887,2.6828632690625,9.759737993946759,1.3068958946875,E017,E017,FTE,Active,2,4,8.919905509016203,2.25,8.25,8.173913043478262,2024-04,1.8235294117647058,8.315835871724538,0.9322784712594685,15.988110101752376
REQ-10009,Team C,E002,E002,E002,Completed,2025-04-01,2025-04-01 22:03:52.633279,2025-04-04 04:04:47.620987,2025-04-12 17:55:16.146873,2025-04-14 23:38:45.146362000,Low,0,13.985244749560184,0.9193591814699075,2.2506364318055554,8.576719049606481,2.238530086678241,E002,E002,Shared Contractor,Active,1,0,8.919905509016203,2.25,3.25,2.9565217391304346,2025-04,1.7333333333333334,8.045015769618056,0.9019171516431634,5.6819383818381395
REQ-10010,Team C,E018,E018,E018,Completed,2025-08-26,2025-08-28 23:15:39.540697,2025-09-01 09:24:15.961278,2025-09-12 00:12:40.476013,2025-09-12 08:29:46.906744000,Medium,0,17.354015124351854,2.9692076469560185,3.4226437567245367,10.616950402025463,0.3452133186458333,E018,E018,Dedicated Contractor,Active,2,0,8.919905509016203,2.25,4.25,4.0,2025-08,1.8,8.140595107465277,0.9126324375562944,7.889265934135591
